Market,Date,Month,Year,LSE IPO,TIDM,Company,Issue type,Country of Inc.,FTSE Industry,FTSE Sector, FTSE Subsector ,Issue Price,Currency, Market Cap - Opening Price (£m) ,Nominated Advisor (AIM only),Money Raised - New (),Money Raised - Existing (),TOTAL RAISED (),Initial Trading Open,Intiial Trading High,Initial Trading Low,Close Day 1,Volume Initial Trading Day,Close Day 7 Trading,Price End Day 30,Price End Day 90,Price End Day 180,Price End Day 365,Price End Day 2 Years,Price End Day 5 Years,Price End Day 10 Years,notes,,,,,,,,,
AIM,30/12/2005,01/12/2005,2005,IPO,,NEXTGEN GROUP,New Company Placing,United Kingdom,482,Pharmaceuticals & Biotechnology,Biotechnology,3,,20.91,Seymour Pierce Limited,2.4,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,29/12/2005,01/12/2005,2005,IPO,,PENNINE AIM VCT 6,New Company Placing,United Kingdom,890,Investment Entities,Investment Entities,100,,3.95,,3.95,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,29/12/2005,01/12/2005,2005,IPO,,NASSTAR,New Company Placing,United Kingdom,977,Software & Computer Services,Software,25,,2.73,W H Ireland Limited,0.15,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,28/12/2005,01/12/2005,2005,IPO,,OTTOMAN FUND(THE),New Company Placing,United Kingdom,850,Investment Companies,Investment Companies,100,,150,Numis Securities Limited,150,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,23/12/2005,01/12/2005,2005,IPO,,CLOSE FUND MGMT PORTFOLIOS II PCC,New Company Placing,United Kingdom,850,Investment Companies,Investment Companies,1,,42.5,,42.5,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,23/12/2005,01/12/2005,2005,IPO,,RECONSTRUCTION CAPITAL II,New Company Placing,Cayman Islands,850,Investment Companies,Investment Companies,67.7412187,,16.54,Grant Thornton UK LLP ,16.54,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,23/12/2005,01/12/2005,2005,IPO,,IRVINE ENERGY,New Company Placing,United Kingdom,879,Speciality & Other Finance,Other Financial,3,,6,Nabarro Wells & Co. Limited,3,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,23/12/2005,01/12/2005,2005,IPO,,VENUE SOLUTIONS HLDGS,New Company Placing,United Kingdom,581,Support Services,Business Support Services,26.5,,7.36,City Financial Associates Limited,0.31,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,22/12/2005,01/12/2005,2005,IPO,,INDIA CAPITAL GROWTH FUND,New Company Placing,United Kingdom,850,Investment Companies,Investment Companies,100,,75,Arbuthnot Securities Limited,75,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,22/12/2005,01/12/2005,2005,IPO,,CHINA REAL ESTATE OPPORTUNITIES SA,New Company Placing,Luxembourg,862,Real Estate,Real Estate Holding & Development,84.676,,15.58,Teather & Greenwood Limited,15.58,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,22/12/2005,01/12/2005,2005,IPO,,LONDON CAPITAL GROUP HLDGS,New Company Placing,United Kingdom,879,Speciality & Other Finance,Other Financial,82,,31.4,Evolution Securities Limited,15,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,22/12/2005,01/12/2005,2005,IPO,,CMR FUEL CELLS,New Company Placing,United Kingdom,252,Electronic & Electrical Equipment,Electrical Equipment,176,,35.74,Investec Bank (UK) Limited,10.3,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,21/12/2005,01/12/2005,2005,IPO,,THIRD ADVANCE VALUE REALISATION CO,New Company Placing,United Kingdom,850,Investment Companies,Investment Companies,100,,21.71,,72.36,-,-,,,,,,,,,,,,,,,,,,,,,,,
